                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.181,                 36.064,                 3.6497,                0.00189,                0.08333,                0.00159,                0.00102,                 3.0521,                 4.5234,                 4.1599,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 4.7497,                 22.067,                 4.5496,                0.00198,                0.08333,                0.00284,                0.00172,                 3.0528,                 4.5204,                 4.1606,             0.00012734,             0.00012734,             0.00012734
                      3,                 3.9975,                 35.453,                 4.5579,                0.00186,                0.08333,                 0.0021,                0.00149,                 3.0486,                 4.5199,                  4.161,              0.0001961,              0.0001961,              0.0001961
                      4,                 4.6463,                 14.793,                 4.4111,                0.00069,                0.08333,                0.00196,                0.00109,                  3.047,                 4.5203,                 4.1619,             0.00026345,             0.00026345,             0.00026345
                      5,                 4.3842,                 33.451,                   4.05,                0.00185,                0.08333,                0.00226,                 0.0013,                 3.0483,                 4.5244,                 4.1639,             0.00032938,             0.00032938,             0.00032938
                      6,                 4.7503,                 10.931,                 4.2201,                0.00181,                0.08333,                0.00239,                0.00129,                 3.0477,                  4.526,                  4.166,              0.0003939,              0.0003939,              0.0003939
                      7,                 4.2805,                 10.898,                 4.1494,                0.00083,                0.08333,                0.00216,                 0.0015,                 3.0501,                 4.5361,                 4.1693,               0.000457,               0.000457,               0.000457
                      8,                 4.2327,                  10.37,                 3.9922,                 0.0005,                0.08333,                0.00196,                0.00136,                 3.0459,                 4.5461,                 4.1734,             0.00051869,             0.00051869,             0.00051869
                      9,                 3.9814,                 8.4989,                 3.8401,                0.00048,                0.08333,                0.00589,                0.00408,                 3.0412,                 4.5608,                 4.1817,             0.00057896,             0.00057896,             0.00057896
                     10,                 3.9581,                 6.9353,                 3.6522,                0.00097,                0.08333,                0.00541,                 0.0037,                  3.046,                 4.4566,                 4.1859,             0.00063782,             0.00063782,             0.00063782
                     11,                 3.9322,                 7.0401,                 3.3573,                0.00107,                0.08333,                0.00403,                0.00254,                 3.0314,                 4.6021,                 4.1883,             0.00069527,             0.00069527,             0.00069527
                     12,                 3.8609,                 8.3045,                 3.3746,                0.00157,                0.08333,                0.00635,                0.00392,                 3.0321,                 4.6488,                 4.1902,              0.0007513,              0.0007513,              0.0007513
                     13,                 3.4902,                 6.1041,                 3.2446,                 0.0017,                0.08333,                0.00543,                0.00335,                 3.0362,                  4.688,                 4.1917,             0.00080591,             0.00080591,             0.00080591
                     14,                 3.5515,                 6.2103,                 2.9353,                0.00181,                0.08333,                 0.0037,                0.00232,                 3.0385,                 4.7988,                 4.1954,             0.00085911,             0.00085911,             0.00085911
                     15,                 3.5008,                 5.4832,                 2.9035,                0.00185,                0.08333,                0.00137,                0.00091,                 3.0188,                 4.8849,                 4.2065,              0.0009109,              0.0009109,              0.0009109
                     16,                 3.2963,                 5.6886,                  2.784,                0.00185,                0.08333,                0.00646,                0.00408,                 3.0106,                 4.8906,                 4.2149,             0.00096127,             0.00096127,             0.00096127
                     17,                 3.2175,                  5.138,                  2.621,                0.00181,                0.08333,                0.00992,                0.00613,                 3.0083,                 4.8795,                 4.2217,              0.0010102,              0.0010102,              0.0010102
                     18,                 3.2226,                 5.1954,                 2.6521,                0.00182,                0.08333,                0.01255,                0.00766,                 3.0091,                 4.8873,                 4.2267,              0.0010578,              0.0010578,              0.0010578
                     19,                 3.5105,                 5.0965,                 2.3242,                0.00181,                0.08333,                0.02138,                0.01508,                 3.0115,                  4.881,                  4.225,              0.0011039,              0.0011039,              0.0011039
                     20,                 3.1045,                 4.7566,                 2.3066,                0.00192,                0.08333,                0.00143,                0.00093,                 3.0216,                 4.8884,                 4.2274,              0.0011486,              0.0011486,              0.0011486
                     21,                 2.9596,                 4.2842,                 2.4341,                 0.0019,                0.08333,                0.00149,                0.00093,                 3.0214,                 4.9026,                  4.228,              0.0011461,              0.0011461,              0.0011461
                     22,                 3.0212,                 4.3845,                 2.3264,                0.00196,                0.08333,                0.00283,                0.00113,                 3.0106,                 4.8875,                 4.2243,              0.0011319,              0.0011319,              0.0011319
                     23,                 2.9304,                 4.2015,                 2.1585,                0.00192,                0.08333,                0.00306,                0.00215,                 3.0056,                 4.8956,                 4.2312,              0.0011178,              0.0011178,              0.0011178
                     24,                 2.9527,                 4.3543,                 2.2869,                0.00198,                0.08333,                0.08333,                0.05651,                  3.005,                 4.9002,                 4.2363,              0.0011036,              0.0011036,              0.0011036
                     25,                 2.7973,                 3.8275,                 1.9796,                0.00209,                0.08333,                0.01921,                0.01349,                 3.0018,                 4.8998,                 4.2337,              0.0010895,              0.0010895,              0.0010895
                     26,                 2.5546,                 3.9773,                 2.1168,                0.00207,                0.08333,                0.02392,                0.01591,                  2.945,                 4.9099,                 4.2173,              0.0010753,              0.0010753,              0.0010753
                     27,                 2.5774,                 3.6151,                  1.912,                0.00204,                0.08333,                0.01336,                 0.0107,                 2.8508,                 4.9528,                 4.1955,              0.0010612,              0.0010612,              0.0010612
                     28,                  2.561,                 3.6823,                 1.8666,                0.00195,                0.08333,                0.00484,                0.00335,                 2.6145,                 4.9239,                 4.0973,               0.001047,               0.001047,               0.001047
                     29,                 2.7184,                 3.8542,                 2.0449,                0.00188,                0.08333,                0.00914,                0.00598,                 2.5986,                  4.873,                 4.0067,              0.0010329,              0.0010329,              0.0010329
                     30,                 2.6073,                 3.7237,                 1.9233,                0.00183,                0.08333,                0.00374,                0.00258,                 2.4889,                 4.8182,                 3.8474,              0.0010187,              0.0010187,              0.0010187
                     31,                 2.3572,                 3.4509,                 1.9085,                0.00245,                0.13333,                0.00627,                0.00414,                 2.5749,                 4.6845,                 3.6833,              0.0010046,              0.0010046,              0.0010046
                     32,                  2.393,                 3.1591,                  1.748,                0.00408,                0.26667,                0.02075,                0.00663,                 3.1389,                 4.4926,                 3.4033,             0.00099044,             0.00099044,             0.00099044
                     33,                 2.4726,                  3.161,                 1.7911,                0.00446,                0.30833,                0.01683,                0.00587,                 3.3489,                 4.3741,                  3.307,             0.00097629,             0.00097629,             0.00097629
                     34,                 2.3154,                 2.8969,                 1.7701,                0.00417,                0.30833,                0.01236,                0.00404,                 3.3944,                 4.2373,                 3.3835,             0.00096215,             0.00096215,             0.00096215
                     35,                 2.3878,                 3.0386,                 1.7678,                0.00514,                0.39167,                0.02005,                0.00366,                 3.4608,                 4.2088,                 3.3332,               0.000948,               0.000948,               0.000948
                     36,                 2.3877,                 3.1338,                 1.7277,                 0.0049,                    0.4,                 0.0106,                0.00312,                 3.4105,                 4.0973,                  3.468,             0.00093385,             0.00093385,             0.00093385
                     37,                 2.1809,                 2.9265,                 1.5376,                0.00468,                   0.35,                0.00808,                0.00197,                 3.4138,                 4.1428,                 3.5081,              0.0009197,              0.0009197,              0.0009197
                     38,                  2.287,                 2.9751,                 1.7394,                0.00357,                0.25833,                0.00659,                0.00188,                 3.4147,                  4.776,                 4.1035,             0.00090556,             0.00090556,             0.00090556
                     39,                 2.1268,                 2.7803,                 1.5558,                0.00344,                   0.25,                 0.0091,                0.00283,                 3.4072,                 4.5707,                 4.0423,             0.00089141,             0.00089141,             0.00089141
                     40,                 2.1906,                 2.8113,                 1.5292,                0.00363,                    0.3,                0.00772,                0.00167,                 3.4157,                 4.0061,                 4.0285,             0.00087726,             0.00087726,             0.00087726
                     41,                 2.0911,                 2.7047,                 1.6719,                0.00347,                    0.3,                0.00745,                0.00164,                 3.5347,                 4.2309,                 4.0008,             0.00086312,             0.00086312,             0.00086312
                     42,                 2.1862,                 2.5786,                 1.6237,                0.00232,                0.20833,                0.00411,                0.00094,                 3.4848,                 5.1483,                 4.7766,             0.00084897,             0.00084897,             0.00084897
                     43,                 2.3107,                 2.8329,                 1.6502,                0.00266,                0.25833,                0.00293,                 0.0009,                 3.4726,                  8.798,                  4.484,             0.00083482,             0.00083482,             0.00083482
                     44,                 2.0113,                 2.4407,                 1.5863,                0.00534,                0.16667,                0.00312,                 0.0011,                  3.578,                 15.137,                 5.1162,             0.00082067,             0.00082067,             0.00082067
                     45,                 2.0514,                 2.4039,                 1.4621,                 0.0029,                0.30833,                0.00402,                 0.0012,                  3.592,                 12.266,                 5.7185,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.9667,                 2.3849,                 1.6429,                0.00413,                   0.45,                0.00556,                 0.0018,                 3.6008,                 10.292,                 6.6281,             0.00079238,             0.00079238,             0.00079238
                     47,                  2.061,                 2.4452,                 1.6013,                0.00635,                0.16667,                0.01026,                0.00276,                 3.5887,                  8.548,                 6.6096,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.9997,                 2.3663,                 1.5565,                0.00535,                0.04167,                0.01072,                0.00366,                 3.5041,                 6.3669,                 5.5393,             0.00076409,             0.00076409,             0.00076409
                     49,                 2.0093,                  2.404,                 1.6132,                0.01102,                0.08333,                0.01009,                0.00368,                 3.5508,                 6.4591,                 5.4236,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.9903,                 2.1173,                 1.4148,                0.01208,                0.08333,                0.01049,                0.00385,                 3.5374,                 5.9989,                 5.2176,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.9848,                  2.398,                 1.4311,                0.51895,                0.04167,                0.01185,                0.00479,                 3.4931,                 4.6926,                 4.4325,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.8862,                 2.1745,                 1.3802,                0.02644,                0.04167,                0.01414,                0.00592,                 3.3271,                 4.2448,                 3.9649,              0.0007075,              0.0007075,              0.0007075
